epoch,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.812,4.526,3.104,0.312,0.298,0.276,0.142,3.941,4.702,3.221,0.00999,0.00999,0.00999
2,3.421,3.887,2.891,0.398,0.365,0.351,0.187,3.612,4.089,3.012,0.00990,0.00990,0.00990
3,3.156,3.412,2.734,0.452,0.411,0.402,0.221,3.344,3.612,2.867,0.00980,0.00980,0.00980
4,2.934,3.067,2.601,0.489,0.448,0.441,0.251,3.129,3.278,2.744,0.00970,0.00970,0.00970
5,2.762,2.798,2.489,0.518,0.476,0.472,0.276,2.961,3.021,2.641,0.00959,0.00959,0.00959
6,2.618,2.581,2.392,0.542,0.501,0.497,0.298,2.822,2.814,2.552,0.00947,0.00947,0.00947
7,2.497,2.402,2.308,0.563,0.522,0.519,0.317,2.706,2.643,2.476,0.00935,0.00935,0.00935
8,2.391,2.251,2.234,0.581,0.541,0.538,0.334,2.605,2.499,2.409,0.00922,0.00922,0.00922
9,2.298,2.121,2.169,0.597,0.557,0.554,0.349,2.517,2.376,2.351,0.00909,0.00909,0.00909
10,2.216,2.008,2.111,0.611,0.572,0.569,0.363,2.439,2.269,2.299,0.00895,0.00895,0.00895
11,2.143,1.909,2.059,0.624,0.585,0.582,0.375,2.371,2.176,2.253,0.00881,0.00881,0.00881
12,2.078,1.822,2.012,0.635,0.596,0.593,0.387,2.309,2.094,2.211,0.00866,0.00866,0.00866
13,2.019,1.745,1.969,0.646,0.607,0.604,0.397,2.254,2.021,2.174,0.00851,0.00851,0.00851
14,1.966,1.676,1.930,0.655,0.617,0.614,0.407,2.204,1.956,2.140,0.00836,0.00836,0.00836
15,1.917,1.614,1.894,0.664,0.626,0.623,0.416,2.158,1.897,2.109,0.00820,0.00820,0.00820
16,1.872,1.558,1.861,0.672,0.634,0.631,0.424,2.116,1.844,2.081,0.00804,0.00804,0.00804
17,1.831,1.507,1.831,0.679,0.641,0.639,0.432,2.078,1.796,2.055,0.00788,0.00788,0.00788
18,1.793,1.460,1.803,0.686,0.648,0.646,0.439,2.043,1.752,2.031,0.00771,0.00771,0.00771
19,1.757,1.417,1.777,0.692,0.655,0.652,0.446,2.011,1.712,2.010,0.00754,0.00754,0.00754
20,1.724,1.377,1.752,0.698,0.661,0.658,0.452,1.981,1.675,1.990,0.00737,0.00737,0.00737
21,1.694,1.340,1.729,0.703,0.667,0.664,0.458,1.954,1.641,1.972,0.00720,0.00720,0.00720
22,1.665,1.306,1.708,0.708,0.672,0.669,0.464,1.929,1.610,1.955,0.00702,0.00702,0.00702
23,1.638,1.273,1.688,0.713,0.677,0.674,0.469,1.905,1.581,1.939,0.00685,0.00685,0.00685
24,1.613,1.243,1.669,0.717,0.681,0.679,0.474,1.884,1.554,1.925,0.00667,0.00667,0.00667
