Epoch,Train_Loss,Val_Loss,Age_MAE,Gender_Accuracy,Learning_Rate
1,2.841,2.963,9.82,78.4,0.00100
2,2.512,2.688,8.91,81.2,0.00100
3,2.203,2.417,8.14,83.5,0.00098
4,1.967,2.201,7.52,85.0,0.00096
5,1.788,2.052,7.03,86.3,0.00093
6,1.642,1.931,6.68,87.1,0.00090
7,1.523,1.847,6.39,87.9,0.00086
8,1.431,1.782,6.11,88.6,0.00082
9,1.352,1.734,5.94,89.0,0.00078
10,1.289,1.698,5.78,89.5,0.00073
11,1.234,1.671,5.64,89.9,0.00068
12,1.187,1.649,5.53,90.2,0.00063
13,1.148,1.634,5.44,90.5,0.00058
14,1.112,1.622,5.37,90.8,0.00053
15,1.081,1.614,5.31,91.0,0.00048
16,1.054,1.609,5.26,91.2,0.00044
17,1.031,1.605,5.21,91.4,0.00040
18,1.009,1.603,5.18,91.6,0.00036
19,0.991,1.602,5.15,91.7,0.00032
20,0.975,1.601,5.12,91.9,0.00029
21,0.961,1.603,5.10,92.0,0.00026
22,0.948,1.602,5.08,92.1,0.00023
23,0.937,1.600,5.06,92.2,0.00020
24,0.927,1.599,5.05,92.3,0.00017
25,0.918,1.598,5.03,92.4,0.00015
26,0.910,1.597,5.02,92.5,0.00013
27,0.903,1.598,5.01,92.5,0.00011
28,0.897,1.596,5.00,92.6,0.00009
29,0.892,1.596,4.99,92.6,0.00008
30,0.887,1.595,4.98,92.7,0.00006
31,0.883,1.595,4.97,92.7,0.00005
32,0.880,1.594,4.97,92.8,0.00004
33,0.877,1.594,4.96,92.8,0.00003
34,0.875,1.593,4.96,92.8,0.00002
35,0.873,1.593,4.95,92.9,0.00001
